days,Date,Open,High,Low,Close,Adj Close,Volume,avg
3,"Wednesday, 14 August 2019",29.575001,29.870001,28.129999,28.305,28.294767,76232600,29
4,"Thursday, 15 August 2019",28.450001,28.66,27.535,28.184999,28.17481,52234800,28.0975
5,"Friday, 16 August 2019",28.889999,29.745001,28.889999,29.485001,29.474342,41101400,29.3175
1,"Monday, 19 August 2019",30.735001,31.120001,30.485001,30.865,30.853842,30011000,30.802501
2,"Tuesday, 20 August 2019",30.705,31.025,30.205,30.23,30.21907,31316000,30.615
3,"Wednesday, 21 August 2019",31.014999,31.295,30.684999,31,30.988794,25370400,30.9899995
4,"Thursday, 22 August 2019",31.18,31.395,29.965,30.700001,30.688902,38157400,30.68
5,"Friday, 23 August 2019",30.065001,30.9,27.540001,27.889999,27.879917,75587600,29.2200005
1,"Monday, 26 August 2019",28.745001,29.030001,28.23,29.02,29.00951,36646400,28.6300005
2,"Tuesday, 27 August 2019",29.625,29.780001,28.5,28.844999,28.834572,38644800,29.1400005
3,"Wednesday, 28 August 2019",28.555,29.285,28.125,29.135,29.124468,31956200,28.705
4,"Thursday, 29 August 2019",30.209999,30.715,29.870001,30.459999,30.448988,35380800,30.2925005
5,"Friday, 30 August 2019",30.959999,30.965,29.73,30.245001,30.234068,34025800,30.3475
1,"Monday, 2 September 2019",,,,30.245001,,,30.3475
2,"Tuesday, 3 September 2019",29.645,30.09,29.055,29.365,29.354383,32196400,29.5725
3,"Wednesday, 4 September 2019",30.190001,30.684999,29.959999,30.6,30.588938,25116200,30.322499
4,"Thursday, 5 September 2019",31.610001,32.555,31.559999,32.290001,32.278328,31686000,32.0574995
5,"Friday, 6 September 2019",32.424999,32.48,31.98,32.200001,32.188362,28759600,32.23
1,"Monday, 9 September 2019",32.485001,32.535,31.485001,31.995001,31.983435,28078200,32.0100005
2,"Tuesday, 10 September 2019",31.469999,31.74,30.84,31.73,31.718529,34191400,31.29
3,"Wednesday, 11 September 2019",31.875,32.645,31.665001,32.584999,32.573219,27850200,32.1550005
4,"Thursday, 12 September 2019",33.189999,33.740002,32.845001,32.990002,32.978077,34982800,33.2925015
5,"Friday, 13 September 2019",32.849998,33.07,32.5,32.639999,32.628201,26902600,32.785
1,"Monday, 16 September 2019",31.995001,32.389999,31.9,32.189999,32.17836,24281000,32.1449995
2,"Tuesday, 17 September 2019",32.18,32.645,31.99,32.615002,32.60321,22699000,32.3175
3,"Wednesday, 18 September 2019",32.43,32.634998,31.375,32.595001,32.583218,35515800,32.004999
4,"Thursday, 19 September 2019",32.764999,33.345001,32.549999,32.740002,32.728165,33192600,32.9475
5,"Friday, 20 September 2019",32.880001,32.974998,31.370001,31.709999,31.698536,30878200,32.1724995
1,"Monday, 23 September 2019",31.639999,32.02,31.35,31.74,31.728525,22352400,31.685
2,"Tuesday, 24 September 2019",32.174999,32.369999,30.07,30.485001,30.47398,50941400,31.2199995
3,"Wednesday, 25 September 2019",30.379999,31.719999,29.615,31.459999,31.448626,38076000,30.6674995
4,"Thursday, 26 September 2019",31.365,31.43,30.43,31.145,31.133741,34053600,30.93
5,"Friday, 27 September 2019",31.275,31.325001,29.33,30.014999,30.004148,47123000,30.3275005
1,"Monday, 30 September 2019",30.299999,30.959999,30.139999,30.815001,30.803862,29275800,30.549999
2,"Tuesday, 1 October 2019",31.16,31.674999,29.91,30.07,30.05913,39613600,30.7924995
3,"Wednesday, 2 October 2019",29.465,29.465,28.01,28.530001,28.519688,67706000,28.7375
4,"Thursday, 3 October 2019",28.51,29.485001,27.455,29.469999,29.459347,60130400,28.4700005
5,"Friday, 4 October 2019",29.855,30.84,29.795,30.709999,30.698896,42244400,30.3175
1,"Monday, 7 October 2019",30.43,31.165001,30.27,30.424999,30.414001,40632600,30.7175005
2,"Tuesday, 8 October 2019",29.82,30.24,29,29.040001,29.029503,58851400,29.62
3,"Wednesday, 9 October 2019",29.799999,30.305,29.530001,29.92,29.909184,38067400,29.9175005
4,"Thursday, 10 October 2019",29.924999,30.934999,29.84,30.575001,30.563948,44059800,30.3874995
5,"Friday, 11 October 2019",31.610001,32.5,31.57,31.719999,31.708532,55627400,32.035
1,"Monday, 14 October 2019",31.625,32.055,31.530001,31.754999,31.743519,22873400,31.7925005
2,"Tuesday, 15 October 2019",32.040001,33.174999,31.985001,32.959999,32.948086,35180400,32.58
3,"Wednesday, 16 October 2019",32.610001,32.955002,32.395,32.715,32.703175,29298400,32.675001
4,"Thursday, 17 October 2019",33.279999,33.43,32.57,32.939999,32.928089,30459800,33
5,"Friday, 18 October 2019",32.810001,33.014999,31.495001,31.995001,31.983435,38611000,32.255
1,"Monday, 21 October 2019",32.514999,32.91,32.215,32.84,32.828129,23544000,32.5625
2,"Tuesday, 22 October 2019",33.18,33.365002,32.040001,32.080002,32.068405,31255800,32.7025015
3,"Wednesday, 23 October 2019",31.855,32.255001,31.700001,32.23,32.218349,24226400,31.977501
4,"Thursday, 24 October 2019",32.935001,33.220001,32.485001,33.154999,33.143013,30621200,32.852501
5,"Friday, 25 October 2019",32.645,33.994999,32.625,33.91,33.897739,32294400,33.3099995
1,"Monday, 28 October 2019",34.43,35.084999,34.43,34.945,34.932365,27899000,34.7574995
2,"Tuesday, 29 October 2019",34.775002,34.924999,34.115002,34.139999,34.127659,26757000,34.5200005
3,"Wednesday, 30 October 2019",34.32,34.790001,33.735001,34.619999,34.607483,29746200,34.262501
4,"Thursday, 31 October 2019",34.884998,34.959999,34.055,34.645,34.632477,30824000,34.5074995
5,"Friday, 1 November 2019",35.105,35.595001,34.945,35.584999,35.572136,28763200,35.2700005
1,"Monday, 4 November 2019",36.305,36.485001,36.060001,36.220001,36.206909,24981600,36.272501
2,"Tuesday, 5 November 2019",36.384998,36.490002,35.945,36.264999,36.251888,25807400,36.217501
3,"Wednesday, 6 November 2019",36.174999,36.189999,35.525002,36.035,36.021973,28832400,35.8575005
4,"Thursday, 7 November 2019",36.605,37.099998,36.084999,36.400002,36.386845,31429800,36.5924985
5,"Friday, 8 November 2019",36.185001,36.845001,35.915001,36.830002,36.816689,20401800,36.380001
1,"Monday, 11 November 2019",36.285,36.73,36.125,36.674999,36.661739,19023200,36.4275
2,"Tuesday, 12 November 2019",36.759998,37.360001,36.599998,36.974998,36.961632,32173000,36.9799995
3,"Wednesday, 13 November 2019",36.615002,37.115002,36.529999,36.919998,36.906651,27939600,36.8225005
4,"Thursday, 14 November 2019",36.595001,36.985001,36.255001,36.91,36.896656,26662800,36.620001
5,"Friday, 15 November 2019",37.555,37.669998,37.23,37.605,37.591404,22646600,37.449999
1,"Monday, 18 November 2019",37.555,37.990002,37.09,37.799999,37.786335,24174000,37.540001
2,"Tuesday, 19 November 2019",38.235001,38.235001,37.544998,37.955002,37.94128,28030000,37.8899995
3,"Wednesday, 20 November 2019",37.674999,38.014999,36.41,37.290001,37.27652,37595000,37.2124995
4,"Thursday, 21 November 2019",37.16,37.224998,36.674999,37,36.986626,22664800,36.9499985
5,"Friday, 22 November 2019",37.279999,37.355,36.485001,37.099998,37.086586,20917000,36.9200005
1,"Monday, 25 November 2019",37.560001,38.41,37.549999,38.384998,38.37112,20019600,37.9799995
2,"Tuesday, 26 November 2019",38.455002,38.755001,38.299999,38.615002,38.601044,20922600,38.5275
3,"Wednesday, 27 November 2019",38.889999,39.41,38.759998,39.395,39.38076,20389200,39.084999
4,"Thursday, 28 November 2019",,,,39.395,,,39.084999
5,"Friday, 29 November 2019",39.105,39.285,38.799999,38.869999,38.855946,13449000,39.0424995
1,"Monday, 2 December 2019",38.869999,38.895,37.014999,37.619999,37.6064,37953800,37.9549995
2,"Tuesday, 3 December 2019",36.150002,36.814999,35.555,36.775002,36.761707,39013000,36.1849995
3,"Wednesday, 4 December 2019",37.345001,37.584999,37.169998,37.32,37.306507,21914800,37.3774985
4,"Thursday, 5 December 2019",37.709999,37.715,36.985001,37.514999,37.501438,22270200,37.3500005
5,"Friday, 6 December 2019",38.34,38.810001,38.27,38.674999,38.661018,23235400,38.5400005
1,"Monday, 9 December 2019",38.544998,39.064999,38.16,38.200001,38.186192,19482200,38.6124995
2,"Tuesday, 10 December 2019",38.224998,38.639999,37.84,38.115002,38.101223,28012000,38.2399995
3,"Wednesday, 11 December 2019",38.34,38.814999,38.18,38.689999,38.676014,22649000,38.4974995
4,"Thursday, 12 December 2019",38.564999,40,38.41,39.575001,39.560696,45791000,39.205
5,"Friday, 13 December 2019",39.48,40.360001,39.23,39.93,39.915565,40249000,39.7950005
1,"Monday, 16 December 2019",40.709999,41.285,40.68,41.075001,41.060154,24847000,40.9825
2,"Tuesday, 17 December 2019",41.285,41.395,41,41.130001,41.115131,21137200,41.1975
3,"Wednesday, 18 December 2019",41.325001,41.639999,41.169998,41.224998,41.210094,17852000,41.4049985
4,"Thursday, 19 December 2019",41.330002,42.09,41.330002,42.064999,42.049793,20846200,41.710001
